Trimestre,Indústria VA,Comércio VA,Serviços VA,Agronegócio VA,Indústria PO,Comércio PO,Serviços PO,Agronegócio PO,Produtividade Indústria,Produtividade comércio,Produtividade serviços,Produtividade Agro
março/2012,"R$ 58.175.430.000,00","R$ 21.033.280.000,00","R$ 150.038.010.000,00","R$ 16.233.610.000,00",13.034.000,16.534.000,40.900.000,10.068.000,"R$ 4.463,36","R$ 1.272,12","R$ 3.668,41","R$ 1.612,40"
junho/2012,"R$ 59.324.460.000,00","R$ 22.133.290.000,00","R$ 153.960.170.000,00","R$ 17.669.320.000,00",13.294.000,16.683.000,41.446.000,10.340.000,"R$ 4.462,50","R$ 1.326,70","R$ 3.714,72","R$ 1.708,83"
setembro/2012,"R$ 63.227.560.000,00","R$ 23.236.640.000,00","R$ 156.977.030.000,00","R$ 17.740.900.000,00",13.277.000,16.639.000,42.094.000,10.168.000,"R$ 4.762,19","R$ 1.396,52","R$ 3.729,20","R$ 1.744,78"
dezembro/2012,"R$ 60.913.100.000,00","R$ 23.330.110.000,00","R$ 159.900.450.000,00","R$ 11.746.770.000,00",13.275.000,17.061.000,41.900.000,10.026.000,"R$ 4.588,56","R$ 1.367,45","R$ 3.816,24","R$ 1.171,63"
março/2013,"R$ 57.345.180.000,00","R$ 21.803.850.000,00","R$ 154.027.970.000,00","R$ 19.725.810.000,00",13.137.000,16.988.000,41.658.000,9.781.000,"R$ 4.365,17","R$ 1.283,49","R$ 3.697,44","R$ 2.016,75"
junho/2013,"R$ 61.963.780.000,00","R$ 23.030.000.000,00","R$ 158.514.370.000,00","R$ 19.463.890.000,00",13.197.000,17.044.000,42.178.000,10.061.000,"R$ 4.695,29","R$ 1.351,21","R$ 3.758,22","R$ 1.934,59"
setembro/2013,"R$ 65.038.860.000,00","R$ 23.907.530.000,00","R$ 161.245.940.000,00","R$ 17.265.240.000,00",12.969.000,17.383.000,42.434.000,10.040.000,"R$ 5.014,95","R$ 1.375,34","R$ 3.799,92","R$ 1.719,65"
dezembro/2013,"R$ 62.527.200.000,00","R$ 24.064.720.000,00","R$ 163.583.540.000,00","R$ 12.236.020.000,00",13.056.000,17.665.000,42.573.000,10.129.000,"R$ 4.789,15","R$ 1.362,28","R$ 3.842,42","R$ 1.208,02"
março/2014,"R$ 59.573.780.000,00","R$ 22.753.830.000,00","R$ 158.014.220.000,00","R$ 21.085.830.000,00",13.152.000,17.590.000,42.578.000,9.445.000,"R$ 4.529,64","R$ 1.293,57","R$ 3.711,17","R$ 2.232,49"
junho/2014,"R$ 59.771.610.000,00","R$ 22.675.850.000,00","R$ 160.070.540.000,00","R$ 19.500.150.000,00",13.293.000,17.478.000,43.315.000,9.554.000,"R$ 4.496,47","R$ 1.297,39","R$ 3.695,50","R$ 2.041,05"
setembro/2014,"R$ 62.728.970.000,00","R$ 23.760.230.000,00","R$ 162.115.340.000,00","R$ 17.446.980.000,00",13.545.000,17.308.000,43.891.000,9.369.000,"R$ 4.631,15","R$ 1.372,79","R$ 3.693,59","R$ 1.862,20"
dezembro/2014,"R$ 61.077.340.000,00","R$ 24.131.990.000,00","R$ 163.851.110.000,00","R$ 12.575.040.000,00",13.576.000,17.611.000,44.053.000,9.183.000,"R$ 4.498,92","R$ 1.370,28","R$ 3.719,41","R$ 1.369,38"
março/2015,"R$ 57.105.570.000,00","R$ 21.837.550.000,00","R$ 156.744.510.000,00","R$ 22.590.910.000,00",13.383.000,17.470.000,43.426.000,9.290.000,"R$ 4.267,02","R$ 1.250,00","R$ 3.609,46","R$ 2.431,74"
junho/2015,"R$ 56.924.120.000,00","R$ 21.406.840.000,00","R$ 157.287.960.000,00","R$ 20.376.090.000,00",13.247.000,17.608.000,44.125.000,9.317.000,"R$ 4.297,13","R$ 1.215,75","R$ 3.564,60","R$ 2.186,98"
