Ano,Produtividade esperada serviços,Produtividade realizada serviços,Diferença,Produtividade esperada comércio,Produtividade realizada comércio,Diferença
junho/2020,"R$ 3.325,36","R$ 3.380,13","1,65%","R$ 1.156,89","R$ 1.191,56","3,00%"
setembro/2020,"R$ 3.311,01","R$ 3.728,37","12,61%","R$ 1.151,36","R$ 1.462,56","27,03%"
dezembro/2020,"R$ 3.296,82","R$ 3.717,30","12,75%","R$ 1.145,89","R$ 1.429,18","24,72%"
março/2021,"R$ 3.282,78","R$ 3.597,37","9,58%","R$ 1.140,48","R$ 1.341,05","17,59%"
junho/2021,"R$ 3.268,43","R$ 3.570,72","9,25%","R$ 1.134,95","R$ 1.321,23","16,41%"
setembro/2021,"R$ 3.254,08","R$ 3.613,29","11,04%","R$ 1.129,42","R$ 1.310,83","16,06%"
dezembro/2021,"R$ 3.239,89","R$ 3.557,89","9,82%","R$ 1.123,95","R$ 1.263,81","12,44%"
março/2022,"R$ 3.225,86","R$ 3.431,61","6,38%","R$ 1.118,54","R$ 1.174,78","5,03%"
junho/2022,"R$ 3.211,51","R$ 3.401,82","5,93%","R$ 1.113,01","R$ 1.185,06","6,47%"
setembro/2022,"R$ 3.197,16","R$ 3.466,13","8,41%","R$ 1.107,48","R$ 1.241,44","12,10%"
dezembro/2022,"R$ 3.182,97","R$ 3.486,98","9,55%","R$ 1.102,01","R$ 1.222,95","10,97%"
março/2023,"R$ 3.168,93","R$ 3.402,84","7,38%","R$ 1.096,60","R$ 1.159,31","5,72%"
junho/2023,"R$ 3.154,58","R$ 3.417,73","8,34%","R$ 1.091,07","R$ 1.204,41","10,39%"
setembro/2023,"R$ 3.140,23","R$ 3.459,93","10,18%","R$ 1.085,54","R$ 1.270,99","17,08%"
dezembro/2023,"R$ 3.126,04","R$ 3.447,51","10,28%","R$ 1.080,07","R$ 1.224,20","13,34%"
março/2024,"R$ 3.111,85","R$ 3.390,05","8,94%","R$ 1.074,60","R$ 1.181,45","9,94%"
junho/2024,"R$ 3.097,50","R$ 3.398,38","9,71%","R$ 1.069,07","R$ 1.219,67","14,09%"
setembro/2024,"R$ 3.083,15","R$ 3.474,19","12,68%","R$ 1.063,54","R$ 1.279,27","20,28%"
dezembro/2024,"R$ 3.068,96","R$ 3.455,64","12,60%","R$ 1.058,07","R$ 1.241,54","17,34%"
março/2025,"R$ 3.054,93","R$ 3.365,12","10,15%","R$ 1.052,66","R$ 1.173,38","11,47%"
junho/2025,"R$ 3.040,58","R$ 3.372,56","10,92%","R$ 1.047,13","R$ 1.196,79","14,29%"
setembro/2025,"R$ 3.026,23","R$ 3.458,78","14,29%","R$ 1.041,60","R$ 1.291,69","24,01%"
dezembro/2025,"R$ 3.012,04","R$ 3.460,44","14,89%","R$ 1.036,13","R$ 1.232,76","18,98%"
